iter	Passed	Remaining
0	262	52280
1	372	36887
2	462	30381
3	573	28109
4	681	26594
5	771	24938
6	884	24389
7	970	23281
8	1085	23029
9	1200	22817
10	1338	22995
11	1473	23089
12	1610	23161
13	1713	22758
14	1842	22721
15	1972	22680
16	2084	22435
17	2164	21881
18	2230	21251
19	2340	21062
20	2445	20845
21	2553	20661
22	2652	20413
23	2740	20097
24	2847	19935
25	2959	19802
26	3069	19666
27	3149	19349
28	3259	19218
29	3354	19006
30	3457	18848
31	3536	18568
32	3604	18241
33	3692	18027
34	3785	17846
35	3899	17765
36	3996	17605
37	4129	17605
38	4240	17506
39	4359	17436
40	4467	17324
41	4566	17179
42	4673	17063
43	4762	16884
44	4863	16752
45	4959	16604
46	5077	16530
47	5211	16501
48	5393	16619
49	5491	16475
50	5591	16336
51	5715	16266
52	5833	16180
53	5938	16056
54	6067	15996
55	6167	15859
56	6267	15722
57	6363	15579
58	6481	15490
59	6607	15417
60	6722	15317
61	6836	15216
62	6937	15087
63	7052	14986
64	7155	14862
65	7238	14695
66	7349	14588
67	7452	14466
68	7550	14335
69	7649	14207
70	7756	14092
71	7836	13931
72	7960	13849
73	8064	13731
74	8189	13649
75	8315	13568
76	8452	13502
77	8582	13423
78	8731	13374
79	8838	13257
80	8959	13162
81	9076	13060
82	9183	12945
83	9267	12797
84	9394	12710
85	9545	12653
86	9655	12541
87	9785	12453
88	9887	12331
89	10023	1225190	10081	12075
91	10201	11975
92	10315	11868
93	10444	11777
94	10556	11667
95	10648	11536
96	10747	11412
97	10858	11301
98	10994	11216
99	11128	11128
100	11259	11036
101	11382	10936
102	11528	10856
103	11652	10756
104	11764	10643
105	11894	10548
106	11996	10427
107	12090	10299
108	12212	10195
109	12321	10081
110	12449	9982
111	12548	9859
112	12688	9768
113	12807	9661
114	12928	9555
115	13049	9449
116	13184	9353
117	13291	9236
118	13385	9111
119	13479	8986
120	13590	8872
121	13714	8767
122	13836	8661
123	13959	8556
124	14084	8450
125	14199	8339
126	14318	8230
127	14460	8133
128	14586	8028
129	14704	7917
130	14814	7803
131	14907	7679
132	15018	7565
133	15133	7453
134	15249	7342
135	15363	7229
136	15479	7118
137	15608	7012
138	15732	6904
139	15849	6792
140	15975	6684
141	16094	6573
142	16206	6459
143	16298	6338
144	16429	6231
145	16523	6111
146	16658	6006
147	16787	5898
148	16918	5790
149	17045	5681
150	17166	5570
151	17272	5454
152	17384	5340
153	17514	5231
154	17629	5118
155	17724	4999
156	17840	4886
157	17950	4771
158	18067	4658
159	18192	4548
160	18334	4441
161	18446	4326
162	18567	4214
163	18667	4097
164	18778	3983
165	18898	3870
166	19017	3757
167	19090	3636
168	19190	3520
169	19293	3404
170	19406	3291
171	19518	3177
172	19637	3064
173	19760	2952
174	19889	2841
175	20022	2730
176	20139	2617
177	20263	2504
178	20387	2391
179	20498	2277
180	20588	2161
181	20703	2047
182	20825	1934
183	20945	1821
184	21091	1710
185	21228	1597
186	21358	1484
187	21462	1369
188	21545	1253
189	21650	1139
190	21771	1025
191	21866	911
192	21959	796
193	22071	682
194	22177	568
195	22322	455
196	22429	341
197	22518	227
198	22628	113
199	22735	0
